AGENT_ID,AGENT_NAME,DATE_OF_JOINING,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,EMP_ROUTING_NUMBER,EMP_ACCT_NUMBER
AGENT00001,Ray Johns,05-06-1993,1402 Maggies Way,,Waterbury Center,VT,5677,34584958,HKUN51252328472585
AGENT00002,Angelo Borjon,27-12-2005,414 Tanya Pass,,Panama City,FL,32404,107363763,OPIS19290040088204
AGENT00003,Candy Spellman,02-09-2003,606 National Street,#306,Fayetteville,AR,72701,81744097,YSCJ67489688482590
AGENT00004,Mary Smith,23-09-2004,235 Hugh Thomas Drive,,Panama City,FL,32404,67563771,ZANG21285355574581
AGENT00005,Mildred Diaz,21-06-2011,3426 Broadview Street,,Montgomery,AL,36000,114951317,DZFS82244494451134
AGENT00006,Linda Butler,02-09-2000,10383 Eagle River Lane,,Anchorage,AK,99577,82970527,TIDG93550966796680
AGENT00007,Michael Hoskins,26-10-1993,5011 West New World Drive,,Glendale,AZ,85302,53819552,OVFE89299102977291
AGENT00008,Carolyn Quesada,15-11-2003,2538 East 40th Plaza,,Panama City,FL,32405,58311521,HOSW68784912234194
AGENT00009,Marilyn Allen,24-12-2009,4840 Reservoir Road Northwest,,Washington,DC,20007,66645522,NXRT72066780733033
AGENT00010,Bernard Haug,04-09-1992,2278 North Windswept Lane,,Fayetteville,AR,72703,75517997,ADZX82914131196683
AGENT00011,Nancy Coronado,31-01-2002,357 Chaplin Street Southeast,,Washington,DC,20019,28574903,CEIG07819775081568
AGENT00012,Jeffrey Forbis,05-08-2010,2619 North Quality Lane,#315,Fayetteville,AR,72703,121484709,IQRF67979220911116
AGENT00013,Carolyn Jones,03-06-2004,6214 Herzog Street,,Oakland,CA,94600,22235031,OBTC64157859730067
AGENT00014,Larry Dryer,22-02-2005,6630 MacArthur Boulevard,#19,Oakland,CA,94605,20663647,FXNK82621091893099
